"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"CLICEUS","198905","21.374","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198906","21.041","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198907","20.976","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198908","20.546","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198909","20.452","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198910","23.174","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198911","22.42","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198912","22.053","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","198913","260.936","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","199001","22.401","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","199002","21.657","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","199003","22.376","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","199004","20.757","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","199005","21.059","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","199006","20.723","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","199007","20.597","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","199008","20.967","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","199009","20.561","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","199010","22.744","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","199011","22.476","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","199012","21.709","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","199013","258.027","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","199101","21.155","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","199102","20.138","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","199103","20.94","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","199104","18.659","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","199105","18.852","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","199106","18.91","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","199107","20.033","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","199108","19.993","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","199109","20.068","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","199110","21.811","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","199111","21.736","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLICEUS","199112","21.806","1","Coal Industrial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
